index,Location,Year,Distance,Stroke,Relay,Gender,Team,Athlete,Results,Rank
0,Tokyo 2020,2020,4x100m,Freestyle,1,Men,USA,"Caeleb Dressel,Blake Pieroni,Bowe Becker,Zach Apple,Brooks Curry",188.97,1
1,Tokyo 2020,2020,4x100m,Freestyle,1,Men,ITA,"Alessandro Miressi,Thomas Ceccon,Lorenzo Zazzeri,Manuel Frigo,Santo Condorelli",190.11,2
2,Tokyo 2020,2020,4x100m,Freestyle,1,Men,AUS,"Matthew Temple,Zac Incerti,Alexander Graham,Kyle Chalmers,Cameron McEvoy",190.22,3
3,Tokyo 2020,2020,4x100m,Freestyle,1,Men,CAN,"Brent Hayden,Joshua Liendo,Yuri Kisil,Markus Thormeyer",190.82,4
4,Tokyo 2020,2020,4x100m,Freestyle,1,Men,HUN,"Kristóf Milák,Szebasztián Szabó,Richárd Bohus,Nándor Németh",191.06,4
5,Tokyo 2020,2020,4x100m,Freestyle,1,Men,FRA,"Maxime Grousset,Florent Manaudou,Clément Mignon,Mehdy Metella",191.09,4
6,Tokyo 2020,2020,4x100m,Freestyle,1,Men,ROC,"Andrei Minakov,Vladislav Grinev,Vladimir Morozov,Kliment Kolesnikov",192.2,4
7,Tokyo 2020,2020,4x100m,Freestyle,1,Men,BRA,"Breno Correia,Pedro Spajari,Gabriel Santos,Marcelo Chierighini",193.41,4
8,Tokyo 2020,2020,4x100m,Freestyle,1,Women,AUS,"Bronte Campbell,Meg Harris,Emma McKeon,Cate Campbell,Mollie O'Callaghan,Madison Wilson",209.69,1
9,Tokyo 2020,2020,4x100m,Freestyle,1,Women,CAN,"Kayla Sanchez,Maggie Mac Neil,Rebecca Smith,Penny Oleksiak,Taylor Ruck",212.78,2
10,Tokyo 2020,2020,4x100m,Freestyle,1,Women,USA,"Erika Brown,Abbey Weitzeil,Natalie Hinds,Simone Manuel,Catie DeLoof,Allison Schmitt,Olivia Smoliga",212.81,3
11,Tokyo 2020,2020,4x100m,Freestyle,1,Women,NED,"Kim Busch,Ranomi Kromowidjojo,Kira Toussaint,Femke Heemskerk",213.7,4
12,Tokyo 2020,2020,4x100m,Freestyle,1,Women,GBR,"Anna Hopkin,Abbie Wood,Lucy Hope,Freya Anderson",213.96,4
13,Tokyo 2020,2020,4x100m,Freestyle,1,Women,SWE,"Sarah Sjöström,Michelle Coleman,Louise Hansson,Sophie Hansson",214.69,4
14,Tokyo 2020,2020,4x100m,Freestyle,1,Women,CHN,"Cheng Yujie,Zhu Menghui,Ai Yanhan,Wu Qingfeng",214.76,4
