0,1,IDs,Year
-4.9449333970731875,8.626789210419236,1,1912
-2.2716080718887306,5.360071519068422,1,1920
-2.084223177723909,5.434715020805402,1,1924
-1.2179113012747929,4.765236067308102,1,1928
-0.290101559937726,4.276972206386266,1,1932
0.24905006102978824,4.042570076565202,1,1936
0.47648055554899515,3.9141117775241066,1,1948
1.1349547280394918,3.5846539007977682,1,1952
1.6591599899045506,3.3967687437905556,1,1956
2.3387490472353933,2.7946760847480516,1,1960
3.011159894538742,1.9437693243060268,1,1964
3.856900099247701,2.38994775786088,1,1968
2.966629219617606,-0.3836503640391115,0,1972
1.881735095559058,-1.9604422776697528,0,1976
1.5752175955524703,-2.2794179384758304,0,1980
1.2941247462559318,-2.8232416698298675,0,1984
0.7489122275104473,-3.4290514673425565,0,1988
0.10030527571867698,-3.7592845068981577,0,1992
0.11324341773768604,-3.6248796534499848,0,1996
-0.7138792993829988,-4.249087157116852,0,2000
-0.9393875338448546,-4.5525707192144464,0,2004
-2.0696594816914593,-5.617528313776343,0,2008
-2.113739245096622,-5.66479038300791,0,2012
-2.2742818436984455,-6.048104621068269,0,2016
-2.486897041883812,-6.138232617690936,0,2020
